Customer ID,Last_Purchase_Date,Days_Since_Last_Purchase,Churn_Status,Country
12346,2011-01-18 10:01:00,326,Churned,United Kingdom
12347,2011-12-07 15:52:00,2,Active,Iceland
12348,2011-09-25 13:13:00,75,At Risk,Finland
12349,2011-11-21 09:51:00,19,Active,Italy
12350,2011-02-02 16:01:00,310,Churned,Norway
12351,2010-11-29 15:23:00,375,Churned,Unspecified
12352,2011-11-03 14:37:00,36,At Risk,Norway
12353,2011-05-19 17:47:00,204,Churned,Bahrain
12354,2011-04-21 13:11:00,232,Churned,Spain
12355,2011-05-09 13:49:00,214,Churned,Bahrain
12356,2011-11-17 08:40:00,23,Active,Portugal
12357,2011-11-06 16:07:00,33,At Risk,Switzerland
12358,2011-12-08 10:26:00,2,Active,Austria
12359,2011-10-13 12:47:00,58,At Risk,Cyprus
12360,2011-10-18 15:22:00,52,At Risk,Austria
12361,2011-02-25 13:51:00,287,Churned,Belgium
12362,2011-12-06 15:40:00,3,Active,Belgium
12363,2011-08-22 10:18:00,110,Churned,Unspecified
12364,2011-12-02 10:22:00,8,Active,Belgium
12365,2011-02-21 14:04:00,291,Churned,Cyprus
12366,2010-03-16 10:28:00,634,Churned,Cyprus
12367,2011-12-05 16:48:00,4,Active,Denmark
12368,2010-03-21 15:56:00,628,Churned,Cyprus
12369,2010-10-22 13:13:00,413,Churned,Austria
12370,2011-10-19 14:51:00,51,At Risk,Austria
12370,2011-10-19 14:51:00,51,At Risk,Cyprus
12371,2011-10-26 10:16:00,45,At Risk,Switzerland
12372,2011-09-29 12:12:00,72,At Risk,Denmark
12373,2011-02-01 13:10:00,311,Churned,Austria
12374,2011-11-14 15:37:00,25,Active,Austria
12375,2011-11-29 10:36:00,11,Active,Finland
12376,2010-11-15 12:15:00,390,Churned,Switzerland
12377,2011-01-28 15:45:00,315,Churned,Switzerland
12378,2011-08-02 10:34:00,130,Churned,Switzerland
12379,2011-09-19 10:09:00,82,At Risk,Belgium
12380,2011-11-18 11:27:00,22,Active,Belgium
12381,2011-12-05 12:44:00,5,Active,Norway
12383,2011-06-08 08:02:00,185,Churned,Belgium
12384,2011-11-11 08:39:00,29,Active,Switzerland
12385,2010-11-25 15:14:00,379,Churned,Belgium
12386,2011-01-06 12:37:00,338,Churned,Australia
12387,2010-10-20 16:27:00,415,Churned,Australia
12388,2011-11-24 12:30:00,16,Active,Australia
12389,2010-11-02 11:52:00,403,Churned,Australia
12390,2011-09-21 09:33:00,80,At Risk,Belgium
12391,2011-11-18 12:07:00,22,Active,Cyprus
12392,2010-04-27 14:04:00,591,Churned,Australia
12393,2011-09-28 15:41:00,72,At Risk,Australia
12394,2011-10-07 08:08:00,64,At Risk,Belgium
12394,2011-10-07 08:08:00,64,At Risk,Denmark
12395,2011-11-20 15:21:00,19,Active,Belgium
12396,2010-02-03 13:22:00,674,Churned,RSA
12397,2011-11-04 09:52:00,36,At Risk,Belgium
12398,2011-10-25 10:27:00,46,At Risk,Switzerland
12399,2011-08-12 13:15:00,119,Churned,Belgium
12400,2010-10-21 13:45:00,414,Churned,Australia
12401,2011-02-09 13:50:00,303,Churned,Belgium
12402,2011-01-20 13:49:00,323,Churned,Belgium
12403,2011-10-21 10:51:00,50,At Risk,Denmark
12404,2010-01-26 16:25:00,682,Churned,Finland
12405,2011-07-14 08:52:00,149,Churned,Finland
12406,2011-11-17 19:22:00,22,Active,Denmark
12407,2011-10-21 10:11:00,50,At Risk,Belgium
12408,2011-11-07 12:27:00,33,At Risk,Belgium
12409,2011-09-22 10:38:00,79,At Risk,Switzerland
12410,2011-02-04 10:39:00,309,Churned,Switzerland
