ds,yhat,yhat_lower,yhat_upper
2009-12-01,694634.8553175775,685976.5855635003,703588.3963820767
2010-01-01,552516.1733889617,543879.250238296,561663.3452082734
2010-02-01,498362.00394458283,489491.01333060296,507427.71464529366
2010-03-01,690350.8838260204,680977.0348390186,699548.9687948502
2010-04-01,587511.1124796455,578504.6984051944,595794.8628058545
2010-05-01,596134.5750505989,586723.3368238759,605814.4268096273
2010-06-01,637779.2198182509,629111.7717804624,646229.4970639676
2010-07-01,593667.0260629595,584683.2839073931,602318.2465265663
2010-08-01,607522.6790908172,599155.4326018202,617066.0527396682
2010-09-01,834733.0689136039,825211.8742023583,843214.4281720794
2010-10-01,1037649.256603191,1028125.3606246574,1046626.8217276669
2010-11-01,1168490.1427461714,1160104.4504007958,1177465.1083717188
2010-12-01,547460.6109352324,538951.1420513577,556012.8085110235
2011-01-01,571364.2996183332,562413.9529787883,579971.6834823005
2011-02-01,452254.137581497,443384.2691808506,460709.9002458579
2011-03-01,600730.004905439,591898.7639447739,609686.3389046137
2011-04-01,472862.34803592437,464090.9638744878,482070.7385000884
2011-05-01,679079.8016281339,669874.2488309841,688098.7065016497
2011-06-01,658662.8320187177,649471.9995258339,667334.0640946997
2011-07-01,595046.4880705196,586038.8319311454,603662.199246472
2011-08-01,638760.0854679482,629934.8930521626,647390.5210483585
2011-09-01,944971.2808862713,936607.973972746,953240.8797084563
2011-10-01,1031086.8014360855,1022073.8379165047,1039981.7853020449
2011-11-01,1154152.5365003466,1145032.6837663807,1163307.4884186308
2011-12-01,529020.830745383,519398.2268614716,538091.1124364636
2012-01-01,689971.6361081216,680732.498366101,699264.113364804
2012-02-01,475724.9193840439,466597.56855108717,484925.9814629139
2012-03-01,718080.5642188562,706674.1193055591,729270.1466698006
2012-04-01,728823.5918805851,715395.0795331171,742266.9745890462
2012-05-01,394522.5772598055,377616.3873608403,411928.0273255576
2012-06-01,607318.91674995,586083.1610644724,628955.8145606534
