"customer_id","country","total_spending"
18102,"United Kingdom",580987.04
14646,"Netherlands",528602.52
14156,"EIRE",313437.62
14911,"EIRE",291420.81
17450,"United Kingdom",244784.25
13694,"United Kingdom",195640.69
17511,"United Kingdom",172132.87
16446,"United Kingdom",168472.50
16684,"United Kingdom",147142.77
12415,"Australia",144458.37
15061,"United Kingdom",126389.02
16029,"United Kingdom",117763.62
17949,"United Kingdom",117314.08
15311,"United Kingdom",114966.42
13089,"United Kingdom",113416.91
12931,"United Kingdom",92347.34
14298,"United Kingdom",91194.49
15769,"United Kingdom",88612.52
12346,"United Kingdom",77556.46
13798,"United Kingdom",75428.87
